Number[1] (ISO 3166-2:NO),Name,Adm. center,County,"Population (2017)[2](2021 for Oslo, Viken, Rogaland and Vestland) [1]",Area (km2)[3],County Map,Arms,Language form[4],Mayor[5],Party
5413,Ibestad,Hamnvik,Troms og Finnmark,1394,241.06,,,Bokmål,Dag Brustind,H
5414,Gratangen,Årstein,Troms og Finnmark,1121,312.74,,,Neutral,Anita Karlsen,Sp
5415,Lavangen Loabák,Tennevoll,Troms og Finnmark,1076,301.64,,,Neutral Northern Sami,Hege Beate Rollmoen,Ap
5416,Bardu,Setermoen,Troms og Finnmark,3994,2703.88,,,Neutral,Toralf Heimdal,Sp
5417,Salangen,Sjøvegan,Troms og Finnmark,2220,457.88,,,Neutral,Sigrun W. Prestbakmo,Sp
5418,Målselv,Moen,Troms og Finnmark,6781,3326.21,,,Neutral,Bengt-Magne Luneng,Sp
5419,Sørreisa,Sørreisa,Troms og Finnmark,3496,361.17,,,Neutral,Jan-Eirik Nordahl,Ap
5420,Dyrøy,Brøstadbotn,Troms og Finnmark,1138,288.54,,,Bokmål,Marit Alvig Espenes,Ap
5421,Senja,Finnsnes,Troms og Finnmark,14930,1953.81,,,Neutral,Tom Rune Eliseussen,Sp
5422,Balsfjord,Storsteinnes,Troms og Finnmark,5685,1496.91,,,Bokmål,Gunda Johansen,Ap
5423,Karlsøy,Hansnes,Troms og Finnmark,2273,1091.59,,,Neutral,Mona Pedersen,LL
5424,Lyngen,Lyngseidet,Troms og Finnmark,2876,812.56,,,Neutral,Dan Håvard Johnsen,LL
5425,Storfjord Omasvuotna Omasvuono,Hatteng,Troms og Finnmark,1890,1542.83,,,Neutral Northern Sami Kven,Geir Varvik,H
5426,Kåfjord Gáivuotna Kaivuono,Olderdalen,Troms og Finnmark,2132,991.18,,,Bokmål Northern Sami Kven,Bernt E. Isaksen Lyngstad,Ap
5427,Skjervøy,Skjervøy,Troms og Finnmark,2912,473.7,,,Bokmål,Ørjan Albrigtsen,KrF
5428,Nordreisa,Storslett,Troms og Finnmark,4919,3437.46,,,Bokmål,Hilde Anita Nyvoll,Ap
5429,Kvænangen,Burfjord,Troms og Finnmark,1233,2109.48,,,Neutral,Eirik Losnegaard Mevik,Ap
5430,Kautokeino Guovdageaidnu,Kautokeino,Troms og Finnmark,2938,9707.33,,,Bokmål Northern Sami,Hans Isak Olsen,LL
5432,Loppa,Øksfjord,Troms og Finnmark,968,688.87,,,Bokmål,Stein Thomassen,Ap
5433,Hasvik,Breivikbotn,Troms og Finnmark,1037,555.56,,,Bokmål,Eva D. Husby,Ap
5434,Måsøy,Havøysund,Troms og Finnmark,1204,1135.82,,,Bokmål,Bernth R. Sjursen,Ap
5435,Nordkapp,Honningsvåg,Troms og Finnmark,3276,925.7,,,Neutral,Jan Olsen,SV
5436,Porsanger Porsáŋgu Porsanki,Lakselv,Troms og Finnmark,3971,4872.58,,,Bokmål Northern Sami Kven,Aina Borch,Ap
5437,Karasjok Kárášjohka,Karasjok,Troms og Finnmark,2696,5452.95,,,Bokmål Northern Sami,Svein Atle Somby,Ap
5438,Lebesby,Kjøllefjord,Troms og Finnmark,1330,3459.41,,,Bokmål,Sigurd Kvammen Rafaelsen,Ap
5439,Gamvik,Mehamn,Troms og Finnmark,1137,1416.34,,,Neutral,Alf N. Hansen,SV
5440,Berlevåg,Berlevåg,Troms og Finnmark,991,1121.78,,,Bokmål,Rolf Laupstad,Ap
5441,Tana Deatnu,Tana bru,Troms og Finnmark,2911,4051.35,,,Bokmål Northern Sami,Helga Pedersen,Ap
5442,Nesseby Unjárga,Varangerbotn,Troms og Finnmark,951,1434.72,,,Bokmål Northern Sami,Knut Inge Store,Ap
5443,Båtsfjord,Båtsfjord,Troms og Finnmark,2267,1434.72,,,Neutral,Ronald Wærnes,Sp
5444,Sør-Varanger,Kirkenes,Troms og Finnmark,10199,3971.58,,,Bokmål,Rune Rafaelsen,Ap
